"NUTS_ID","date","var","values"
"LT011",2020-02-24,"confirmed",0
"LT011",2020-02-25,"confirmed",0
"LT011",2020-02-26,"confirmed",0
"LT011",2020-02-27,"confirmed",0
"LT011",2020-02-28,"confirmed",0
"LT011",2020-02-29,"confirmed",0
"LT011",2020-03-01,"confirmed",0
"LT011",2020-03-02,"confirmed",0
"LT011",2020-03-03,"confirmed",0
"LT011",2020-03-04,"confirmed",0
"LT011",2020-03-05,"confirmed",0
"LT011",2020-03-06,"confirmed",0
"LT011",2020-03-07,"confirmed",0
"LT011",2020-03-08,"confirmed",0
"LT011",2020-03-09,"confirmed",0
"LT011",2020-03-10,"confirmed",0
"LT011",2020-03-11,"confirmed",0
"LT011",2020-03-12,"confirmed",0
"LT011",2020-03-13,"confirmed",1
"LT011",2020-03-14,"confirmed",1
"LT011",2020-03-15,"confirmed",4
"LT011",2020-03-16,"confirmed",8
"LT011",2020-03-17,"confirmed",13
"LT011",2020-03-18,"confirmed",16
"LT011",2020-03-19,"confirmed",24
"LT011",2020-03-20,"confirmed",35
"LT011",2020-03-21,"confirmed",49
"LT011",2020-03-22,"confirmed",77
"LT011",2020-03-23,"confirmed",99
"LT011",2020-03-24,"confirmed",110
"LT011",2020-03-25,"confirmed",163
"LT011",2020-03-26,"confirmed",216
"LT011",2020-03-27,"confirmed",252
"LT011",2020-03-28,"confirmed",302
"LT011",2020-03-29,"confirmed",349
"LT011",2020-03-30,"confirmed",398
"LT011",2020-03-31,"confirmed",446
"LT011",2020-04-01,"confirmed",514
"LT011",2020-04-02,"confirmed",561
"LT011",2020-04-03,"confirmed",637
"LT011",2020-04-04,"confirmed",676
"LT011",2020-04-05,"confirmed",708
"LT011",2020-04-06,"confirmed",745
"LT011",2020-04-07,"confirmed",777
"LT011",2020-04-08,"confirmed",819
"LT011",2020-04-09,"confirmed",864
"LT011",2020-04-10,"confirmed",891
"LT011",2020-04-11,"confirmed",891
"LT021",2020-02-24,"confirmed",0
"LT021",2020-02-25,"confirmed",0
"LT021",2020-02-26,"confirmed",0
"LT021",2020-02-27,"confirmed",0
"LT021",2020-02-28,"confirmed",0
"LT021",2020-02-29,"confirmed",0
"LT021",2020-03-01,"confirmed",0
"LT021",2020-03-02,"confirmed",0
"LT021",2020-03-03,"confirmed",0
"LT021",2020-03-04,"confirmed",0
"LT021",2020-03-05,"confirmed",0
"LT021",2020-03-06,"confirmed",0
"LT021",2020-03-07,"confirmed",0
"LT021",2020-03-08,"confirmed",0
"LT021",2020-03-09,"confirmed",0
"LT021",2020-03-10,"confirmed",0
"LT021",2020-03-11,"confirmed",0
"LT021",2020-03-12,"confirmed",0
"LT021",2020-03-13,"confirmed",0
"LT021",2020-03-14,"confirmed",0
"LT021",2020-03-15,"confirmed",0
"LT021",2020-03-16,"confirmed",0
"LT021",2020-03-17,"confirmed",0
"LT021",2020-03-18,"confirmed",0
"LT021",2020-03-19,"confirmed",0
"LT021",2020-03-20,"confirmed",0
"LT021",2020-03-21,"confirmed",0
"LT021",2020-03-22,"confirmed",0
"LT021",2020-03-23,"confirmed",1
"LT021",2020-03-24,"confirmed",1
"LT021",2020-03-25,"confirmed",5
"LT021",2020-03-26,"confirmed",6
"LT021",2020-03-27,"confirmed",6
"LT021",2020-03-28,"confirmed",6
"LT021",2020-03-29,"confirmed",6
"LT021",2020-03-30,"confirmed",6
"LT021",2020-03-31,"confirmed",6
"LT021",2020-04-01,"confirmed",6
"LT021",2020-04-02,"confirmed",6
"LT021",2020-04-03,"confirmed",6
"LT021",2020-04-04,"confirmed",6
"LT021",2020-04-05,"confirmed",6
"LT021",2020-04-06,"confirmed",6
"LT021",2020-04-07,"confirmed",6
"LT021",2020-04-08,"confirmed",6
"LT021",2020-04-09,"confirmed",6
"LT021",2020-04-10,"confirmed",6
"LT021",2020-04-11,"confirmed",6
"LT022",2020-02-24,"confirmed",0
"LT022",2020-02-25,"confirmed",0
"LT022",2020-02-26,"confirmed",0
"LT022",2020-02-27,"confirmed",0
"LT022",2020-02-28,"confirmed",0
"LT022",2020-02-29,"confirmed",0
"LT022",2020-03-01,"confirmed",0
"LT022",2020-03-02,"confirmed",0
"LT022",2020-03-03,"confirmed",0
"LT022",2020-03-04,"confirmed",0
"LT022",2020-03-05,"confirmed",0
"LT022",2020-03-06,"confirmed",0
"LT022",2020-03-07,"confirmed",0
"LT022",2020-03-08,"confirmed",0
"LT022",2020-03-09,"confirmed",0
"LT022",2020-03-10,"confirmed",2
"LT022",2020-03-11,"confirmed",2
"LT022",2020-03-12,"confirmed",2
"LT022",2020-03-13,"confirmed",3
"LT022",2020-03-14,"confirmed",3
"LT022",2020-03-15,"confirmed",3
"LT022",2020-03-16,"confirmed",3
"LT022",2020-03-17,"confirmed",4
"LT022",2020-03-18,"confirmed",6
"LT022",2020-03-19,"confirmed",8
"LT022",2020-03-20,"confirmed",12
"LT022",2020-03-21,"confirmed",20
"LT022",2020-03-22,"confirmed",28
"LT022",2020-03-23,"confirmed",31
"LT022",2020-03-24,"confirmed",41
"LT022",2020-03-25,"confirmed",42
"LT022",2020-03-26,"confirmed",43
"LT022",2020-03-27,"confirmed",43
"LT022",2020-03-28,"confirmed",44
"LT022",2020-03-29,"confirmed",44
"LT022",2020-03-30,"confirmed",44
"LT022",2020-03-31,"confirmed",44
"LT022",2020-04-01,"confirmed",44
"LT022",2020-04-02,"confirmed",44
"LT022",2020-04-03,"confirmed",44
"LT022",2020-04-04,"confirmed",44
"LT022",2020-04-05,"confirmed",44
"LT022",2020-04-06,"confirmed",44
"LT022",2020-04-07,"confirmed",44
"LT022",2020-04-08,"confirmed",44
"LT022",2020-04-09,"confirmed",44
"LT022",2020-04-10,"confirmed",44
"LT022",2020-04-11,"confirmed",44
"LT023",2020-02-24,"confirmed",0
"LT023",2020-02-25,"confirmed",0
"LT023",2020-02-26,"confirmed",0
"LT023",2020-02-27,"confirmed",0
"LT023",2020-02-28,"confirmed",0
"LT023",2020-02-29,"confirmed",0
"LT023",2020-03-01,"confirmed",0
"LT023",2020-03-02,"confirmed",0
"LT023",2020-03-03,"confirmed",0
"LT023",2020-03-04,"confirmed",0
"LT023",2020-03-05,"confirmed",0
"LT023",2020-03-06,"confirmed",0
"LT023",2020-03-07,"confirmed",0
"LT023",2020-03-08,"confirmed",0
"LT023",2020-03-09,"confirmed",0
"LT023",2020-03-10,"confirmed",0
"LT023",2020-03-11,"confirmed",0
"LT023",2020-03-12,"confirmed",0
"LT023",2020-03-13,"confirmed",1
"LT023",2020-03-14,"confirmed",2
"LT023",2020-03-15,"confirmed",2
"LT023",2020-03-16,"confirmed",2
"LT023",2020-03-17,"confirmed",4
"LT023",2020-03-18,"confirmed",6
"LT023",2020-03-19,"confirmed",10
"LT023",2020-03-20,"confirmed",14
"LT023",2020-03-21,"confirmed",21
"LT023",2020-03-22,"confirmed",24
"LT023",2020-03-23,"confirmed",30
"LT023",2020-03-24,"confirmed",34
"LT023",2020-03-25,"confirmed",41
"LT023",2020-03-26,"confirmed",56
"LT023",2020-03-27,"confirmed",57
"LT023",2020-03-28,"confirmed",57
"LT023",2020-03-29,"confirmed",57
"LT023",2020-03-30,"confirmed",57
"LT023",2020-03-31,"confirmed",57
"LT023",2020-04-01,"confirmed",57
"LT023",2020-04-02,"confirmed",57
"LT023",2020-04-03,"confirmed",57
"LT023",2020-04-04,"confirmed",57
"LT023",2020-04-05,"confirmed",57
"LT023",2020-04-06,"confirmed",57
"LT023",2020-04-07,"confirmed",57
"LT023",2020-04-08,"confirmed",57
"LT023",2020-04-09,"confirmed",57
"LT023",2020-04-10,"confirmed",57
"LT023",2020-04-11,"confirmed",57
"LT024",2020-02-24,"confirmed",0
"LT024",2020-02-25,"confirmed",0
"LT024",2020-02-26,"confirmed",0
"LT024",2020-02-27,"confirmed",0
"LT024",2020-02-28,"confirmed",0
"LT024",2020-02-29,"confirmed",0
